"","ano.x","numero_serie_autex","nome_cientifico","volume_original_autorizado_autex","volume_remanescente_autex","ano.y","nome_popular","municipio_origem","volume_transportado_dof","valor_volume_dof","categoria_risco","localizacao_autex"
"1",2020,"00002202000524","allantomalineata",1516.2059,0.1199,2020,"Jequitibá","Humaita",706.477,38628.81,"fora do escopo","POINT(-63.190606 -7.208025)"
"2",2020,"00002202000524","allantomalineata",1516.2059,0.1199,2020,"Jequitibárosa","Humaita",687.47,41767.34,"fora do escopo","POINT(-63.190606 -7.208025)"
"3",2020,"00002202000524","allantomalineata",1516.2059,0.1199,2021,"Jequitibá","Humaita",122.139,7572.62,"fora do escopo","POINT(-63.190606 -7.208025)"
"4",2020,"00002202000524","bowdichianitida",305.0108,0,2020,"Sucupira","Humaita",305.0108,24070.93,"médio risco","POINT(-63.190606 -7.208025)"
"5",2020,"00002202000524","brosimumparaense",437.4279,0.7255,2020,"Muirapiranga","Humaita",206.105,19542.75,"fora do escopo","POINT(-63.190606 -7.208025)"
"6",2020,"00002202000524","brosimumparaense",437.4279,0.7255,2021,"Muirapiranga","Humaita",230.5974,22137.35,"fora do escopo","POINT(-63.190606 -7.208025)"
"7",2020,"00002202000524","carinianamicrantha",427.4881,2.9351,2020,"Tauarivermelho","Humaita",398.361,24981.77,"fora do escopo","POINT(-63.190606 -7.208025)"
"8",2020,"00002202000524","carinianamicrantha",427.4881,2.9351,2021,"Jequitiba","Humaita",26.192,1623.9,"fora do escopo","POINT(-63.190606 -7.208025)"
"9",2020,"00002202000524","caryocarvillosum",576.7825,1.2779,2020,"Pequi","Humaita",457.787,45778.7,"sem risco","POINT(-63.190606 -7.208025)"
"10",2020,"00002202000524","caryocarvillosum",576.7825,1.2779,2021,"Ameixadoperu","Humaita",5.6,560,"fora do escopo","POINT(-63.190606 -7.208025)"
"11",2020,"00002202000524","caryocarvillosum",576.7825,1.2779,2021,"Pequi","Humaita",112.1176,11211.76,"fora do escopo","POINT(-63.190606 -7.208025)"
"12",2020,"00002202000524","cedrelingacateniformis",603.9816,1.5313,2020,"Cedromara","Humaita",365.766,20105.29,"fora do escopo","POINT(-63.190606 -7.208025)"
"13",2020,"00002202000524","cedrelingacateniformis",603.9816,1.5313,2021,"Cedromara","Humaita",236.6843,16115.22,"fora do escopo","POINT(-63.190606 -7.208025)"
"14",2020,"00002202000524","clarisiaracemosa",16.9941,0.0001,2020,"Oiticica","Humaita",16.994,1359.52,"médio risco","POINT(-63.190606 -7.208025)"
"15",2020,"00002202000524","couratariguianensis",849.8839,0,2020,"Tauari","Humaita",849.8839,51616.94,"médio risco","POINT(-63.190606 -7.208025)"
"16",2020,"00002202000524","dipteryxodorata",542.2005,0.0005,2020,"Cumaru","Humaita",542.2,45544.78,"médio risco","POINT(-63.190606 -7.208025)"
"17",2020,"00002202000524","enterolobiumschomburgkii",264.1406,6.3076,2020,"Favaorelhademacaco","Humaita",100,5399.98,"fora do escopo","POINT(-63.190606 -7.208025)"
